cip13,lib_cip13,boites_delivrees,remboursement_total,base_remboursement_totale,nb_observations
3400935955838,DOLIPRANE 1G CPR 8,173427260,147959841.06,202491818.64,1856
3400941533969,DOLIPRANE 1G GELULE 8,49684194,43140874.32,57836174.22,1657
3400936158832,DAFALGAN 1G CPR 8,36050412,31173335.53,42060531.62,1532
3400935294227,DOLIPRANE 1G CPR EFF 8,28208857,24316537.83,32991953.03,1595
3400932679041,DAFALGAN 500MG GELULE 16,23465311,20914423.3,27332886.81,1520
3400934744198,KARDEGIC 75MG PDR ORALE SACHET 30,22011178,33578676.95,36933030.910000004,1248
3400935291783,EFFERALGANMED 1G CPR EFF 8,19447924,16847642.17,22730911.13,1386
3400932320189,DOLIPRANE 500MG CPR 16,17047672,14698664.58,19897825.080000002,1694
3400934615467,"DOLIPRANE 2,4% SS SUCRE SUSP BUV 1",13623160,12275662.78,19008758.51,883
3400935154958,LAMALINE GELULE 16,13548946,14337037.15,19211247.94,1367
3400949605538,IZALGI 500 MG/25 MG GELULE 16,11725001,13831723.82,18641814.18,1368
3400934438738,VENTOLINE 100 MICROGRAMMES SUSP INH 1,11610191,30831399.13,42993466.88,1663
3400930186947,DAFALGAN 1000MG GELULE 8,11440701,9936836.09,13300870.25,1296
3400935887559,SERESTA 10MG CPR 30,11426964,11652265.93,14341235.19,1105
3400930087299,ZYMAD 50000UI SOL BUV AMP 1,10011065,9059331.37,12471915.23,1454
3400934507786,DOLIPRANE 500MG GELULE 16,9897135,8769230.620000001,11505316.63,1439
3400930986080,SPASFON CPR 30,9605326,6631017.09,20750333,1417
3400932905997,DIFFU-K 600MG GELULE 40,9285853,15857763.38,17426341.89,1082
3400922385624,HELICIDINE 10% S/S SIR FP 250ML 1,8424592,4658489.35,24111083.39,1203
3400926784102,ELIQUIS 5MG CPR 60,8282868,457132928.62,490266907.01,992
