atc1,lib_atc1,remboursement_total,base_remboursement_totale,boites_delivrees,nb_medicaments
L,ANTINEOPLASIQUES ET AGENTS IMMUNOMODULANTS,7009658504.85,7176747068.29,20038715,865
N,SYSTEME NERVEUX,2885346343.28,3435983883.39,863329608,2540
A,SYSTEME DIGESTIF ET METABOLISME,2534113912.11,2961918989.35,414540504,1514
B,SANG ET ORGANES HEMATOPOIETQUES,2483800967.54,2672152429.5099998,129658619,461
J,ANTI-INFECTIEUX (USAGE SYSTEMIQUE),2178411465.65,2705134005.3,149106292,1118
C,SYSTEME CARDIO-VASCULAIRE,2020775771.1200001,2296677233.4,239581101,3382
R,SYSTEME RESPIRATOIRE,1890693957.98,2398941823.89,147747453,557
S,ORGANES SENSORIELS,1236243416.46,1395093543.6,82390343,296
H,"HORMONES SYSTEMIQUES, A L EXCLUSION DES HORMONES SEXUELLES ET DES INSULINES",580983256.04,641848985.71,59320929,307
M,SYSTEME MUSCULO-SQUELETTIQUE,452535845.19,556203486.01,86303728,457
D,DERMATOLOGIE,432716834.66,643981209.32,77852713,306
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,390190738.24,598771114.69,60390263,484
V,DIVERS,303397117.47,437980132.76,10626402,291
P,"ANTIPARASITAIRES, INSECTICIDES ET REPULSIFS",41207870.76,50665964.67,5556157,52
