prescripteur,nb_medicaments,remboursement_total,base_remboursement_totale,boites_delivrees,part_remboursement,part_boites
PRESCRIPTEURS SALARIES,10991,11768846098.78,12543369260.07,426844938,48.153885029367025,18.191150156670748
MEDECINE GENERALE LIBERALE,11169,7951453483.62,9995510870.12,1607003659,32.5344875489781,68.48680225695523
OPHTALMOLOGIE LIBERALE,2813,782584314.4,862843384,41013088,3.20205352207895,1.7478835421886885
Inconnu,12063,670026178.19,718020506.38,21141447,2.7415061154187477,0.9009998776330722
RHUMATOLOGIE LIBERALE,2318,398664038.24,419318716.53,14578275,1.6311898466190486,0.6212925724100756
PATHOLOGIE CARDIO-VASCULAIRE LIBERALE,5007,371021678.28,398170082,17762205,1.5180872525089766,0.7569843507633864
RADIOLOGIE LIBERALE,2855,321920114.28,360143835.58,8347894,1.317181314257034,0.35576805468868133
MEDECINE INTERNE LIBERALE,2769,309008928.72,312245474.76,4092093,1.2643533870472874,0.17439559800533763
GASTRO-ENTEROLOGIE ET HEPATOLOGIE LIBERALE,2216,239911434.2,260552792.11,8464957,0.9816312935636858,0.3607570106799794
PNEUMOLOGIE LIBERALE,1942,238347930.76,288776049.22,9436821,0.9752339998731359,0.40217562053558614
CHIRURGIE LIBERALE,3911,202617582.26,247828288.61,24648458,0.8290382658744923,1.0504606256063702
NEUROLOGIE LIBERALE,1858,179420877.93,186793313.92,5467564,0.7341256955178425,0.23301501051233584
ENDOCRINOLOGIE ET METABOLISMES LIBERAL,3204,166839370.14000002,174948989.89,9581221,0.6826466911591612,0.40832961663293066
PEDIATRIE LIBERALE,2375,166082479.06,247033224.72,19627107,0.6795497651104934,0.8364621875357546
DERMATOLOGIE ET VENEROLOGIE LIBERALE,2286,147764293.14000002,227427929.98,12636387,0.6045983373040162,0.5385337692696316
GYNECOLOGIE OBSTETRIQUE LIBERALE,3672,145193167.26,182812256.75,19778237,0.5940782150267451,0.8429030007642286
"PRESCRIPTEURS DE VILLE AUTRES QUE MEDECINS (Dentistes, Auxiliaires médicaux, Laboratoires, Sages-Femmes)",2386,134009350.55,203129628.21,17854358,0.5483180598235361,0.760911699810191
PSYCHIATRIE LIBERALE,3084,130551218.5,158378166.99,30898577,0.5341686273511945,1.3168263315200732
CHIRURGIE DENTAIRE,2400,41486822.16,77738015.63,31792005,0.1697491536348266,1.3549021793404217
OTO RHINO-LARYNGOLOGIE LIBERALE,2317,32418984.96,57053692.17,7278846,0.13264682547717638,0.3102076861299975
NEPHROLOGIE LIBERALE,1714,27430312.34,28211588.3,2771346,0.11223497152171222,0.11810839659550758
ANESTHESIOLOGIE - REANIMATION LIBERALE,1795,9581128.94,13219245.64,2011246,0.03920253332874564,0.08571468168143864
STOMATOLOGIE LIBERALE,946,3592820.22,6592997.34,2805029,0.014700528017185964,0.11954388863530574
MEDECINE PHYSIQUE ET DE READAPTATION LIBERALE,626,1184173.09,1713815.36,471788,0.004845210341958796,0.02010652015771446
CHIRURGIE DENTAIRE (SPECIALISTE O.D.F.),124,67127.68,188726.28,112326,2.7466232100216073e-4,0.004787075939268134
DIRECTEUR LABORATOIRE MEDECIN LIBERAL,139,50113.82,75836.43,21737,2.050477256995103e-4,9.263809776175723e-4
ANATOMIE-CYTOLOGIE-PATHOLOGIQUE LIBERALE,28,1979.8300000000002,3182.9,1218,8.100752223072628e-6,5.1908360433279805e-05
